# BranchSpectre-V2 transmitter gadget from libcrypt.a

LINE    OFFSET          CODE                    ASM
62812: 87c:     f6 0a 00                test   BYTE PTR [rdx],0x0
112015:    1209:        f7 02 3c 00 00 00       test   DWORD PTR [rdx],0x3c
122904:    10b6:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
184712: 200:    f6 02 28                test   BYTE PTR [rdx],0x28
306088:    114e:        f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
307494: 1c8:    f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
427643:     234:        f6 02 00                test   BYTE PTR [rdx],0x0
466865:    3c48:        f6 02 56                test   BYTE PTR [rdx],0x56
482807: ab0:    f6 02 78                test   BYTE PTR [rdx],0x78
495513:     234:        f6 02 00                test   BYTE PTR [rdx],0x0
546011:     ae5:        f6 0a 00                test   BYTE PTR [rdx],0x0
574499:    2252:        f7 02 60 00 00 00       test   DWORD PTR [rdx],0x60
591440:    10c8:        f7 02 00 00 03 91       test   DWORD PTR [rdx],0x91030000
591446:    10d8:        f7 02 00 00 03 91       test   DWORD PTR [rdx],0x91030000
591451:    10e8:        f7 02 00 00 03 91       test   DWORD PTR [rdx],0x91030000
649313: c0e:    f7 02 23 00 00 00       test   DWORD PTR [rdx],0x23
656273:     9c8:        f6 02 b3                test   BYTE PTR [rdx],0xb3
707051:     ae7:        f6 0a 00                test   BYTE PTR [rdx],0x0
735757:    1596:        f7 02 43 00 00 00       test   DWORD PTR [rdx],0x43
771093:     c19:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
813475:    2bd2:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
813480:    2bed:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
929069:    1888:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
929073:    1893:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
929200:    19c9:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
929261:    1a5f:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
929345:    1b22:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
929349:    1b2e:        f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
1021616:     9a2:       f6 0a 00                test   BYTE PTR [rdx],0x0
1118652: 9e4:   f6 02 61                test   BYTE PTR [rdx],0x61
1121266:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
1122372:     d6b:       f6 02 84                test   BYTE PTR [rdx],0x84
1141058:    2b8b:       f6 02 ef                test   BYTE PTR [rdx],0xef
1141063:    2b96:       f6 02 cb                test   BYTE PTR [rdx],0xcb
1178861:    10b4:       f6 02 ec                test   BYTE PTR [rdx],0xec
1179308:    1490:       f6 02 15                test   BYTE PTR [rdx],0x15
1200816:    2241:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
1200882:    22e4:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
1208546:    10e4:       f6 02 0c                test   BYTE PTR [rdx],0xc
1223174:    158f:       f6 02 18                test   BYTE PTR [rdx],0x18
1247400:    119b:       f6 02 23                test   BYTE PTR [rdx],0x23
1248896:    20d0:       f6 02 3f                test   BYTE PTR [rdx],0x3f
1285108:     2ec:       f7 02 00 00 0d 38       test   DWORD PTR [rdx],0x380d0000
1285960:     ad4:       f7 02 67 00 00 00       test   DWORD PTR [rdx],0x67
1310540: 235:   f6 02 2b                test   BYTE PTR [rdx],0x2b
1319233:    258d:       f7 02 57 00 00 00       test   DWORD PTR [rdx],0x57
1321007:     bc8:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
1339857:     aec:       f6 0a 00                test   BYTE PTR [rdx],0x0
1339893:     b41:       f6 0a 00                test   BYTE PTR [rdx],0x0
1340186:     dce:       f6 02 cb                test   BYTE PTR [rdx],0xcb
1355753:     e1c:       f6 02 ff                test   BYTE PTR [rdx],0xff
1369757:     e58:       f6 02 0b                test   BYTE PTR [rdx],0xb
1376685:     f18:       f6 02 b5                test   BYTE PTR [rdx],0xb5
1393582:     e62:       f6 02 cb                test   BYTE PTR [rdx],0xcb
1398857:     af1:       26 f6 0a 00             test   BYTE PTR es:[rdx],0x0
1399209:     dc9:       f6 02 ce                test   BYTE PTR [rdx],0xce
1495759:    1d91:       f6 02 e1                test   BYTE PTR [rdx],0xe1
1532227:     bce:       f6 02 7d                test   BYTE PTR [rdx],0x7d
1574134:    150a:       f6 02 dc                test   BYTE PTR [rdx],0xdc
1763229:   20429:       f6 0a 00                test   BYTE PTR [rdx],0x0
1763321:   20501:       f6 0a 00                test   BYTE PTR [rdx],0x0
1763402:   205bf:       f6 0a 00                test   BYTE PTR [rdx],0x0
1763477:   20673:       f6 0a 00                test   BYTE PTR [rdx],0x0
1763547:   2071c:       f6 0a 00                test   BYTE PTR [rdx],0x0
1763600:   207a1:       f6 0a 00                test   BYTE PTR [rdx],0x0
1821382:     872:       f6 02 fb                test   BYTE PTR [rdx],0xfb
1887702:    1a9a:       f6 02 e1                test   BYTE PTR [rdx],0xe1
1897213:     b02:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
1897343:     c43:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
1963653:     d08:       f6 02 02                test   BYTE PTR [rdx],0x2
1963911:    1045:       f6 02 04                test   BYTE PTR [rdx],0x4
1984773:    1635:       f6 02 02                test   BYTE PTR [rdx],0x2
2114605:    3511:       f7 02 58 be 31 c6       test   DWORD PTR [rdx],0xc631be58
2119457:    6582:       f6 02 d9                test   BYTE PTR [rdx],0xd9
2132999:    ecd0:       f7 02 98 e6 73 8c       test   DWORD PTR [rdx],0x8c73e698
2133943:    f648:       f7 0a d1 e8 76 52       test   DWORD PTR [rdx],0x5276e8d1
2139886:   1320b:       f6 02 3f                test   BYTE PTR [rdx],0x3f
2151470:   1a5ff:       f7 02 64 b4 a9 04       test   DWORD PTR [rdx],0x4a9b464
2202010:     772:       f6 0a 00                test   BYTE PTR [rdx],0x0
2202050:     7d8:       f6 0a 00                test   BYTE PTR [rdx],0x0
2240973:    28d4:       f7 02 68 0d 00 00       test   DWORD PTR [rdx],0xd68
2264156:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2280269:     5b7:       f6 0a 00                test   BYTE PTR [rdx],0x0
2280281:     5cf:       f6 0a 00                test   BYTE PTR [rdx],0x0
2290885: 252:   f7 02 80 00 00 00       test     DWORD PTR [rdx],0x80
2291433:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2296339:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2296409:     2eb:       f6 02 00                test   BYTE PTR [rdx],0x0
2301138:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2301193:     2eb:       f6 02 00                test   BYTE PTR [rdx],0x0
2309111:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2312050: 3d0:   f6 02 00                test   BYTE PTR [rdx],0x0
2312627:   8:   f6 02 00                test   BYTE PTR [rdx],0x0
2325100:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2350370:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2354898:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2359138:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2363660:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2367824:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2372138:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2376890:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2381078:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
2440352:    1ddd:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
2489757:    31f7:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
2489761:    3202:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
2578518: 120:   f7 02 00 00 01 00       test   DWORD PTR [rdx],0x10000
2578624: 3c0:   f6 02 00                test   BYTE PTR [rdx],0x0
2600620:    15f0:       f6 02 00                test   BYTE PTR [rdx],0x0
2610697: 2dc:   f7 02 45 13 84 3a       test   DWORD PTR [rdx],0x3a841345
2628365: 314:   f6 02 00                test   BYTE PTR [rdx],0x0
2682941:    267e:       f6 02 00                test   BYTE PTR [rdx],0x0
2683140:    2838:       f6 02 00                test   BYTE PTR [rdx],0x0
2683162:    286f:       f6 02 00                test   BYTE PTR [rdx],0x0
2683218:    28ea:       f6 02 00                test   BYTE PTR [rdx],0x0
2722828: c02:   f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
2722832: c0d:   f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
2735185:     abd:       f6 0a 00                test   BYTE PTR [rdx],0x0
2877514:    12b1:       f6 02 2d                test   BYTE PTR [rdx],0x2d
2878690:    1d88:       f7 02 91 1d 00 00       test   DWORD PTR [rdx],0x1d91
2922219:     1bb:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
2966253:      3c:       f6 02 00                test   BYTE PTR [rdx],0x0
2966389:     194:       f6 02 00                test   BYTE PTR [rdx],0x0
2966394:     1a2:       f6 02 00                test   BYTE PTR [rdx],0x0
2966780:     557:       f6 02 00                test   BYTE PTR [rdx],0x0
2966837:     5e4:       f6 02 00                test   BYTE PTR [rdx],0x0
2966843:     5f0:       f6 02 00                test   BYTE PTR [rdx],0x0
3009267:     234:       f6 02 00                test   BYTE PTR [rdx],0x0
3009339:     2eb:       f6 02 00                test   BYTE PTR [rdx],0x0
3102275:    1aad:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
3102284:    1ad1:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
3102293:    1af4:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
3179444:     eaf:       f6 02 7e                test   BYTE PTR [rdx],0x7e
3217134:     94a:       f6 02 6f                test   BYTE PTR [rdx],0x6f
3322979:    593b:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
3322983:    5946:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
3347291:    26be:       f7 02 35 00 00 00       test   DWORD PTR [rdx],0x35
3471630: a3f:   f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
